NPTDR File Region	NPTDR File Admin Area	NPTDR Operator Code	Code Problem	NPTDR Route Numbers
Great Britain	National	XM	missing	BusRoute SCB1, BusRoute SCB2, BusRoute SCB3
Great Britain	National	1005	missing	BusRoute D2, BusRoute 15A, BusRoute 15C, BusRoute 16A, BusRoute 16C, BusRoute 220, BusRoute 232, BusRoute 320, BusRoute 321, BusRoute 322, BusRoute 823, BusRoute 23
Great Britain	National	CAB	missing	BusRoute 341, BusRoute 342, BusRoute 343
Great Britain	National	YB	missing	BusRoute 1b, BusRoute 1c, BusRoute 2b, BusRoute 2c, BusRoute 5b, BusRoute 6, BusRoute 18, BusRoute 20, BusRoute 21, BusRoute 24, BusRoute 25, BusRoute 26, BusRoute 27, BusRoute 49, BusRoute 1A, BusRoute 2a, BusRoute 4b, BusRoute 19, BusRoute 29, BusRoute 39, BusRoute 46, BusRoute 81, BusRoute 4a, BusRoute 5a, BusRoute 36, BusRoute 93, BusRoute 95, BusRoute 1a, BusRoute 91, BusRoute 92, BusRoute 3
Great Britain	National	1006	missing	BusRoute 75, BusRoute 80, BusRoute 82, BusRoute 3A
Great Britain	National	MID	missing	BusRoute 1, BusRoute 2, BusRoute 3, BusRoute 4, BusRoute 1A
Great Britain	National	CAC	missing	BusRoute M1, BusRoute 86, BusRoute 559, BusRoute 606
Great Britain	National	_SB	missing	FerryRoute SF
Great Britain	National	ARG	missing	BusRoute 73
Great Britain	National	SCT	missing	BusRoute 520, BusRoute 520A, BusRoute X22, BusRoute 521, BusRoute M20, BusRoute 10A, BusRoute 284, BusRoute P1, BusRoute P2, BusRoute S6, BusRoute S6A, BusRoute H1, BusRoute M92, BusRoute 5, BusRoute 10, BusRoute 61, BusRoute 62, BusRoute 64, BusRoute 72, BusRoute 29
Great Britain	National	AG	missing	BusRoute 1A, BusRoute 3, BusRoute X2, BusRoute X4, BusRoute X9, BusRoute X10, BusRoute X31, BusRoute 1, BusRoute X8, BusRoute 6
Great Britain	National	2582	missing	BusRoute E11, BusRoute E12, BusRoute E10
Great Britain	National	1007	missing	BusRoute 8K, BusRoute 8S, BusRoute 87, BusRoute 827, BusRoute 8C, BusRoute 579
Great Britain	National	YC	missing	BusRoute 54, BusRoute Y4, BusRoute 151, BusRoute 152, BusRoute 153, BusRoute 154
Great Britain	National	HQC	missing	BusRoute C30, BusRoute H31, BusRoute H50, BusRoute H51, BusRoute H52, BusRoute P1, BusRoute P2, BusRoute S9, BusRoute C68, BusRoute C69, BusRoute C70
Great Britain	National	SCU	missing	CoachRoute 923
Great Britain	National	1375	missing	BusRoute 441
Great Britain	National	TGM	missing	BusRoute 2, BusRoute 519
Great Britain	National	CAE	missing	BusRoute 320
Great Britain	National	THA	missing	BusRoute 346
Great Britain	National	OP?	missing	BusRoute 19, BusRoute 31A
Great Britain	National	RYE	missing	BusRoute X31, BusRoute 326
Great Britain	National	AI	missing	BusRoute 1
Great Britain	National	YE	missing	BusRoute 724
Great Britain	National	1009	missing	BusRoute N1, BusRoute 2, BusRoute 2A, BusRoute 3A, BusRoute 4, BusRoute 6A, BusRoute 40, BusRoute 40A, BusRoute 40B, BusRoute 41, BusRoute 42, BusRoute 55A, BusRoute 80, BusRoute 81, BusRoute 81A, BusRoute 81B, BusRoute 500, BusRoute 501, BusRoute 502, BusRoute 504, BusRoute 537, BusRoute 935, BusRoute 940, BusRoute 941, BusRoute 942, BusRoute X22, BusRoute 6, BusRoute 7, BusRoute 49, BusRoute 50, BusRoute 55, BusRoute 755, BusRoute X2, BusRoute 10, BusRoute X1, BusRoute 5, BusRoute 3
Great Britain	National	MIG	missing	BusRoute 145, BusRoute 146, BusRoute 99P
Great Britain	National	THB	missing	BusRoute 51, BusRoute 52, BusRoute 78, BusRoute 123, BusRoute 148, BusRoute 302
Great Britain	National	CWY	missing	BusRoute 93, BusRoute 99
